parameter_id,parameter_group,value,unit,source,status,used_by,notes
axis_order,kinematics,"P_Z_BASE_LIFT,R1_FIRST_ARM,R2_SECOND_ARM",axis_id,user_definition,selected,planner_and_teensy_contract,"Authoritative PRR order for the current 3-axis robot."
vertical_screw_lead,mechanics,4,mm_per_rev,user_definition,selected,vertical_axis_conversion,"Trapezoidal screw pitch. Confirm actual screw standard, diameter and nut lead before load signoff."
vertical_screw_efficiency_seed,mechanics,0.30,ratio,engineering_seed,seed,vertical_thrust_estimate,"Seed value for trapezoidal screw torque-to-thrust estimate. Replace with measured screw/nut efficiency."
vertical_stroke_min,workspace,,mm,TBD,missing,soft_limits,"Measure with limit switches, hard stops and collision envelope."
vertical_stroke_max,workspace,,mm,TBD,missing,soft_limits,"Measure with limit switches, hard stops and collision envelope."
link1_length,workspace,,mm,TBD,missing,forward_inverse_kinematics,"Required for PRR FK/IK and feed-rate limiting."
link2_length,workspace,,mm,TBD,missing,forward_inverse_kinematics,"Required for PRR FK/IK and feed-rate limiting."
r1_zero_offset,calibration,,deg,TBD,missing,homing_and_fk,"Absolute encoder zero relative to robot frame."
r2_zero_offset,calibration,,deg,TBD,missing,homing_and_fk,"Absolute encoder zero relative to robot frame."
tcp_weld_offset_x,tooling,,mm,TBD,missing,process_recipe,"Separate TCP offsets are required for welding torch, plasma torch and oxy-fuel torch."
tcp_weld_offset_y,tooling,,mm,TBD,missing,process_recipe,"Separate TCP offsets are required for welding torch, plasma torch and oxy-fuel torch."
tcp_weld_offset_z,tooling,,mm,TBD,missing,process_recipe,"Separate TCP offsets are required for welding torch, plasma torch and oxy-fuel torch."
tcp_plasma_offset_x,tooling,,mm,TBD,missing,process_recipe,"Plasma torch TCP must include consumable/standoff geometry."
tcp_plasma_offset_y,tooling,,mm,TBD,missing,process_recipe,"Plasma torch TCP must include consumable/standoff geometry."
tcp_plasma_offset_z,tooling,,mm,TBD,missing,process_recipe,"Plasma torch TCP must include consumable/standoff geometry."
tcp_oxyfuel_offset_x,tooling,,mm,TBD,missing,process_recipe,"Oxy-fuel torch TCP must include nozzle, preheat flame envelope and kerf."
tcp_oxyfuel_offset_y,tooling,,mm,TBD,missing,process_recipe,"Oxy-fuel torch TCP must include nozzle, preheat flame envelope and kerf."
tcp_oxyfuel_offset_z,tooling,,mm,TBD,missing,process_recipe,"Oxy-fuel torch TCP must include nozzle, preheat flame envelope and kerf."
singularity_margin_min,planning,0.08,normalized_jacobian_det,engineering_seed,seed,feed_clamp,"Planner should reduce TCP feed when the planar 2R Jacobian approaches singularity."
dry_run_required_before_process,safety,1,bool,MROS_policy,selected,process_interlocks,"Any new recipe, material, fixture or tool change must pass dry-run before process energy enable."
