interlock_id,applies_to_modes,authority,required_state_or_signal,fail_action,reset_requirement,blocking_for_process_energy,blocking_for_motion,status,notes
estop_closed,all,Teensy,safety_estop_closed,abort_motion_disable_torque,manual_reset,yes,yes,required,"Teensy must own this gate. ESP32 UI state is informational."
homed_axes,all,Teensy,all_axes_homed,block_process_energy_and_motion,rehome_required,yes,yes,required,"All PRR axes must be homed or absolute positions validated before motion."
soft_limits_valid,all,Teensy,axis_soft_limits_loaded,block_motion,config_reload_or_operator_ack,yes,yes,required,"Current seed data has missing measured limits; process modes are not release-ready until filled."
dry_run_passed,"weld_gmaw_steel_seed;weld_tig_steel_seed;plasma_air_mild_steel_thin;plasma_air_mild_steel_medium;plasma_air_mild_steel_thick;oxy_acetylene_mild_steel_thin;oxy_acetylene_mild_steel_medium;oxy_acetylene_mild_steel_heavy",ESP32_and_operator,last_recipe_dry_run_passed,block_process_energy,rerun_dry_run,yes,no,required,"Prevents first-time toolpath from energizing arc/flame."
can_heartbeat_ok,all,Teensy,all_actuator_heartbeats_ok,abort_motion_disable_torque,clear_fault_and_rehome,yes,yes,required,"Heartbeat timeout should be logged with node id and axis id."
following_error_ok,all,Teensy,following_error_below_limit,abort_motion_disable_torque,clear_fault_and_inspect,yes,yes,required,"Limit depends on process and geometry; start conservative."
sd_logger_available,all,Teensy,sd_log_queue_healthy,degrade_to_motion_disabled_or_abort,operator_ack,no,no,warning,"If logging fails, do not crash control. For process qualification, logging should be mandatory."
work_clamp_ok,"weld_gmaw_steel_seed;weld_tig_steel_seed;plasma_air_mild_steel_thin;plasma_air_mild_steel_medium;plasma_air_mild_steel_thick",Teensy_or_external_io,work_clamp_confirmed,block_arc_enable,operator_fix,yes,no,required,"Arc processes need a confirmed return path."
shielding_or_plasma_gas_ok,"weld_gmaw_steel_seed;weld_tig_steel_seed;plasma_air_mild_steel_thin;plasma_air_mild_steel_medium;plasma_air_mild_steel_thick",Teensy_or_external_io,gas_pressure_ok,block_process_energy,operator_fix,yes,no,required,"Gas loss should pause/abort according to process mode."
plasma_arc_ok,"plasma_air_mild_steel_thin;plasma_air_mild_steel_medium;plasma_air_mild_steel_thick",Teensy,arc_ok_after_torch_on,abort_process_energy_then_motion,operator_clear,yes,yes,required,"Motion after pierce waits for arc-ok and pierce delay."
plasma_thc_height_ok,"plasma_air_mild_steel_thin;plasma_air_mild_steel_medium;plasma_air_mild_steel_thick",Teensy_or_THC,cut_height_in_tolerance,abort_or_pause,operator_clear,yes,yes,required,"If no THC hardware exists, fixed-height mode must still validate standoff."
oxyfuel_flashback_arrestors_ok,"oxy_acetylene_mild_steel_thin;oxy_acetylene_mild_steel_medium;oxy_acetylene_mild_steel_heavy",operator,flashback_arrestors_installed,block_flame_enable,inspection_signoff,yes,no,required,"Software cannot detect this without sensors; require operator checklist."
oxyfuel_leak_test_ok,"oxy_acetylene_mild_steel_thin;oxy_acetylene_mild_steel_medium;oxy_acetylene_mild_steel_heavy",operator,leak_test_passed,block_flame_enable,inspection_signoff,yes,no,required,"Must be repeated after setup changes."
oxyfuel_acetylene_pressure_ok,"oxy_acetylene_mild_steel_thin;oxy_acetylene_mild_steel_medium;oxy_acetylene_mild_steel_heavy",operator_or_sensor,acetylene_working_pressure_within_limit,block_flame_enable,operator_fix,yes,no,required,"Keep within equipment and regulatory limits; do not encode a machine setting without regulator validation."
fire_watch_ready,"weld_gmaw_steel_seed;weld_tig_steel_seed;plasma_air_mild_steel_thin;plasma_air_mild_steel_medium;plasma_air_mild_steel_thick;oxy_acetylene_mild_steel_thin;oxy_acetylene_mild_steel_medium;oxy_acetylene_mild_steel_heavy",operator,fire_watch_and_extinguisher_ready,block_process_energy,operator_ack,yes,no,required,"Hot work requires external safety controls beyond firmware."
